,id,Director,Leading_Actor,Supporting_Lead,Supporting_Actor
148,43074,Paul Feig,Melissa McCarthy,Kristen Wiig,Kate McKinnon
149,95,Michael Bay,Bruce Willis,Billy Bob Thornton,Ben Affleck
150,608,Barry Sonnenfeld,Tommy Lee Jones,Will Smith,Rip Torn
151,2310,Robert Zemeckis,Ray Winstone,Angelina Jolie,Anthony Hopkins
152,140300,Jennifer Yuh Nelson,Jack Black,Bryan Cranston,Dustin Hoffman
153,56292,Brad Bird,Tom Cruise,Jeremy Renner,Simon Pegg
154,81188,Peter Ramsey,Chris Pine,Alec Baldwin,Jude Law
155,7552,Dean Parisot,Jim Carrey,Téa Leoni,Alec Baldwin
156,616,Edward Zwick,Tom Cruise,Ken Watanabe,William Atherton
157,147441,Ridley Scott,Christian Bale,Joel Edgerton,John Turturro
158,13475,J.J. Abrams,Chris Pine,Zachary Quinto,Leonard Nimoy
159,557,Sam Raimi,Tobey Maguire,Willem Dafoe,Kirsten Dunst
160,82702,Dean DeBlois,Jay Baruchel,Gerard Butler,Kristen Wiig
161,205584,Alex Proyas,Brenton Thwaites,Nikolaj Coster-Waldau,Gerard Butler
162,10048,Rob Cohen,Josh Lucas,Jessica Biel,Jamie Foxx
163,13183,Zack Snyder,Malin Åkerman,Billy Crudup,Carla Gugino
164,944,Richard Donner,Mel Gibson,Danny Glover,Joe Pesci
165,1927,Ang Lee,Eric Bana,Jennifer Connelly,Sam Elliott
166,72559,Jon M. Chu,Dwayne Johnson,D.J. Cotrona,Adrianne Palicki
167,7364,Breck Eisner,Matthew McConaughey,Penélope Cruz,Steve Zahn
168,2114,Hironobu Sakaguchi,Donald Sutherland,Ming-Na Wen,Alec Baldwin
169,1771,Joe Johnston,Chris Evans,Hugo Weaving,Tommy Lee Jones
170,36643,Michael Apted,Pierce Brosnan,Sophie Marceau,Robert Carlyle
171,8619,Peter Weir,Russell Crowe,Paul Bettany,James D'Arcy
172,50620,Bill Condon,Kristen Stewart,Robert Pattinson,Taylor Lautner
173,65759,George Miller,Elijah Wood,Robin Williams,Pink
174,1724,Louis Leterrier,Edward Norton,Liv Tyler,Tim Roth
175,267935,Steven Spielberg,Ruby Barnhill,Mark Rylance,Rebecca Hall
176,281957,Alejandro González Iñárritu,Leonardo DiCaprio,Tom Hardy,Will Poulter
177,77950,David Soren,Ryan Reynolds,Paul Giamatti,Michael Peña
178,44896,Gore Verbinski,Johnny Depp,Isla Fisher,Ned Beatty
179,270946,Eric Darnell,Tom McGrath,Chris Miller,Christopher Knights
180,2503,Paul Greengrass,Matt Damon,Julia Stiles,David Strathairn
181,9502,Mark Osborne,Jack Black,Dustin Hoffman,Angelina Jolie
182,102899,Peyton Reed,Paul Rudd,Michael Douglas,Evangeline Lilly
183,101299,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth
184,228161,Tim Johnson,Jim Parsons,Rihanna,Steve Martin
185,74,Steven Spielberg,Tom Cruise,Dakota Fanning,Miranda Otto
186,8961,Michael Bay,Martin Lawrence,Will Smith,Jordi Mollà
187,417859,Chris Miller,Antonio Banderas,Salma Hayek,Zach Galifianakis
188,27576,Phillip Noyce,Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor
189,86834,Darren Aronofsky,Russell Crowe,Jennifer Connelly,Emma Watson
190,17578,Steven Spielberg,Jamie Bell,Andy Serkis,Daniel Craig
191,673,Alfonso Cuarón,Daniel Radcliffe,Rupert Grint,Emma Watson
192,6972,Baz Luhrmann,Nicole Kidman,Hugh Jackman,Essie Davis
193,82700,M. Night Shyamalan,Jaden Smith,Will Smith,Sophie Okonedo
194,10567,Ralph Zondag,D. B. Sweeney,Alfre Woodard,Ossie Davis
195,181533,Shawn Levy,Ben Stiller,Rami Malek,Rebel Wilson
196,38055,Tom McGrath,Will Ferrell,Brad Pitt,Tina Fey
197,671,Chris Columbus,Daniel Radcliffe,Rupert Grint,Emma Watson
198,49524,Robert Schwentke,Jeff Bridges,Ryan Reynolds,Kevin Bacon
199,22,Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom
200,131631,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth
201,591,Ron Howard,Tom Hanks,Audrey Tautou,Ian McKellen
202,172385,Carlos Saldanha,Jesse Eisenberg,Anne Hathaway,Leslie Mann
203,36658,Bryan Singer,Patrick Stewart,Hugh Jackman,Ian McKellen
204,51497,Justin Lin,Vin Diesel,Paul Walker,Jordana Brewster
205,58574,Guy Ritchie,Robert Downey Jr.,Jude Law,Jared Harris
206,18823,Louis Leterrier,Sam Worthington,Liam Neeson,Ralph Fiennes
207,861,Paul Verhoeven,Arnold Schwarzenegger,Sharon Stone,Rachel Ticotin
208,1911,John McTiernan,Antonio Banderas,Vladimir Kulich,Dennis Storhøi
209,49040,Tony Gilroy,Jeremy Renner,Rachel Weisz,Edward Norton
210,415,Joel Schumacher,George Clooney,Chris O'Donnell,Arnold Schwarzenegger
211,8871,Ron Howard,Jim Carrey,Taylor Momsen,Jeffrey Tambor
212,435,Roland Emmerich,Dennis Quaid,Jake Gyllenhaal,Emmy Rossum
213,955,John Woo,Tom Cruise,Dougray Scott,Thandie Newton
214,2133,Wolfgang Petersen,George Clooney,Mark Wahlberg,Diane Lane
215,1979,Tim Story,Ioan Gruffudd,Jessica Alba,Chris Evans
216,87827,Ang Lee,Suraj Sharma,Irrfan Khan,Ayush Tandon
217,1250,Mark Steven Johnson,Nicolas Cage,Eva Mendes,Wes Bentley
218,324668,Paul Greengrass,Matt Damon,Alicia Vikander,Tommy Lee Jones
219,9471,McG,Cameron Diaz,Drew Barrymore,Lucy Liu
220,70981,Ridley Scott,Noomi Rapace,Michael Fassbender,Guy Pearce
221,10996,Rob Minkoff,Michael J. Fox,Geena Davis,Hugh Laurie
222,68724,Neill Blomkamp,Matt Damon,Jodie Foster,Sharlto Copley
223,2789,David Twohy,Vin Diesel,Thandie Newton,Karl Urban
224,97020,José Padilha,Joel Kinnaman,Gary Oldman,Michael Keaton
225,7459,Lilly Wachowski,Emile Hirsch,Christina Ricci,Matthew Fox
226,42888,James L. Brooks,Reese Witherspoon,Paul Rudd,Owen Wilson
227,37834,James Mangold,Tom Cruise,Cameron Diaz,Peter Sarsgaard
228,75612,Joseph Kosinski,Tom Cruise,Morgan Freeman,Olga Kurylenko
229,1895,George Lucas,Ewan McGregor,Natalie Portman,Hayden Christensen
230,1894,George Lucas,Ewan McGregor,Natalie Portman,Hayden Christensen
231,585,Pete Docter,John Goodman,Billy Crystal,Mary Gibbs
232,76170,James Mangold,Hugh Jackman,Hiroyuki Sanada,Famke Janssen
233,1893,George Lucas,Liam Neeson,Ewan McGregor,Natalie Portman
234,49519,Chris Sanders,Nicolas Cage,Emma Stone,Ryan Reynolds
235,2395,Thomas Langmann,Clovis Cornillac,Gérard Depardieu,Franck Dubosc
236,12100,John Woo,Nicolas Cage,Adam Beach,Peter Stormare
237,290595,Cedric Nicolas-Troyan,Chris Hemsworth,Charlize Theron,Emily Blunt
238,98566,Jonathan Liebesman,Megan Fox,Will Arnett,William Fichtner
239,49047,Alfonso Cuarón,Sandra Bullock,George Clooney,Ed Harris
240,9619,Roger Donaldson,Pierce Brosnan,Linda Hamilton,Jamie Renée Smith
241,308531,Dave Green,Megan Fox,Stephen Amell,Will Arnett
242,166424,Josh Trank,Miles Teller,Kate Mara,Michael B. Jordan
243,1593,Shawn Levy,Ben Stiller,Jake Cherry,Carla Gugino
244,254128,Brad Peyton,Dwayne Johnson,Alexandra Daddario,Carla Gugino
245,714,Roger Spottiswoode,Pierce Brosnan,Jonathan Pryce,Michelle Yeoh
246,2024,Roland Emmerich,Mel Gibson,Heath Ledger,Joely Richardson
247,163,Steven Soderbergh,George Clooney,Brad Pitt,Catherine Zeta-Jones
248,787,Doug Liman,Angelina Jolie,Brad Pitt,Vince Vaughn
249,262500,Robert Schwentke,Shailene Woodley,Theo James,Kate Winslet
250,2567,Martin Scorsese,Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale
251,38745,Rob Letterman,Jack Black,Amanda Peet,Emily Blunt
252,40805,Michel Gondry,Seth Rogen,Jay Chou,Christoph Waltz
253,53182,Noam Murro,Sullivan Stapleton,Eva Green,Lena Headey
254,41513,Raja Gosnell,Hank Azaria,Neil Patrick Harris,Jayma Mays
255,13700,Will Finn,Roseanne Barr,Judi Dench,Jennifer Tilly
256,262504,Robert Schwentke,Shailene Woodley,Theo James,Zoë Kravitz
257,39254,Shawn Levy,Hugh Jackman,Dakota Goyo,Evangeline Lilly
258,77931,Raja Gosnell,Hank Azaria,Neil Patrick Harris,Brendan Gleeson
259,1639,Jan de Bont,Sandra Bullock,Jason Patric,Willem Dafoe
260,80274,Gavin Hood,Asa Butterfield,Harrison Ford,Hailee Steinfeld
261,1571,Len Wiseman,Bruce Willis,Justin Long,Timothy Olyphant
262,120,Peter Jackson,Elijah Wood,Ian McKellen,Cate Blanchett
263,10204,Frank Coraci,Jackie Chan,Steve Coogan,Cécile de France
264,8489,Michael Mann,Will Smith,Jamie Foxx,Jon Voight
265,10588,Bo Welch,Mike Myers,Dakota Fanning,Spencer Breslin
266,2048,Alex Proyas,Will Smith,Bridget Moynahan,Alan Tudyk
267,1495,Ridley Scott,Orlando Bloom,Eva Green,Jeremy Irons
268,10137,Rob Minkoff,Michael J. Fox,Geena Davis,Hugh Laurie
269,10198,Ron Clements,Anika Noni Rose,Bruno Campos,Keith David
270,286217,Ridley Scott,Matt Damon,Jessica Chastain,Kristen Wiig
271,1635,Michael Bay,Ewan McGregor,Scarlett Johansson,Djimon Hounsou
272,24113,Peter Chelsom,Warren Beatty,Diane Keaton,Goldie Hawn
273,9679,Dominic Sena,Nicolas Cage,Angelina Jolie,Giovanni Ribisi
274,98,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen
275,180,Steven Spielberg,Tom Cruise,Colin Farrell,Samantha Morton
276,672,Chris Columbus,Daniel Radcliffe,Rupert Grint,Emma Watson
277,36557,Martin Campbell,Daniel Craig,Eva Green,Mads Mikkelsen
278,869,Tim Burton,Mark Wahlberg,Tim Roth,Helena Bonham Carter
279,280,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Robert Patrick
280,11322,Michael Mann,Christian Bale,Johnny Depp,Giovanni Ribisi
281,4982,Ridley Scott,Denzel Washington,Russell Crowe,Chiwetel Ejiofor
282,36955,James Cameron,Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold
283,18487,Tony Scott,Denzel Washington,John Travolta,Luis Guzmán
284,39451,Paul Weitz,Robert De Niro,Ben Stiller,Owen Wilson
285,27581,Adam McKay,Will Ferrell,Mark Wahlberg,Eva Mendes
286,9268,Chuck Russell,Arnold Schwarzenegger,James Caan,Vanessa Williams
287,68718,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio
288,10545,Gary Trousdale,Tom Hulce,Demi Moore,Tony Jay
289,11688,Mark Dindal,David Spade,John Goodman,Eartha Kitt
290,76163,Simon West,Sylvester Stallone,Jason Statham,Dolph Lundgren
291,2059,Jon Turteltaub,Nicolas Cage,Diane Kruger,Justin Bartha
292,2486,Stefen Fangmeier,Ed Speleers,Jeremy Irons,Sienna Guillory
293,16523,Spike Jonze,Max Records,Catherine Keener,Lauren Ambrose
294,116711,Chris Wedge,Josh Hutcherson,Amanda Seyfried,Colin Farrell
295,37710,Florian Henckel von Donnersmarck,Johnny Depp,Angelina Jolie,Paul Bettany
296,9946,Peter Hyams,Arnold Schwarzenegger,Gabriel Byrne,Kevin Pollak
297,1372,Edward Zwick,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly
298,106646,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie
299,414,Joel Schumacher,Val Kilmer,Tommy Lee Jones,Jim Carrey
300,563,Paul Verhoeven,Casper Van Dien,Dina Meyer,Denise Richards
301,83542,Tom Tykwer,Tom Hanks,Halle Berry,Jim Broadbent
302,41216,Zack Snyder,Emily Barclay,Abbie Cornish,Essie Davis
303,314,Pitof,Halle Berry,Benjamin Bratt,Sharon Stone
304,184315,Brett Ratner,Dwayne Johnson,Ian McShane,John Hurt
305,9016,Ron Clements,Joseph Gordon-Levitt,Brian Murray,David Hyde Pierce
306,18162,Brad Silberling,Will Ferrell,Anna Friel,Danny McBride
307,138103,Patrick Hughes,Sylvester Stallone,Jason Statham,Harrison Ford
308,257088,Ericson Core,Edgar Ramírez,Luke Bracey,Teresa Palmer
309,10214,Lawrence Guterman,Jamie Kennedy,Alan Cumming,Traylor Howard
310,205775,Ron Howard,Chris Hemsworth,Benjamin Walker,Cillian Murphy
311,11692,Ron Underwood,Eddie Murphy,Randy Quaid,Rosario Dawson
312,22972,Paul Greengrass,Matt Damon,Greg Kinnear,Brendan Gleeson
313,227973,Steve Martino,Noah Schnapp,Bill Melendez,Venus Schultheis
314,29193,David Mamet,Steve Martin,Campbell Scott,Ben Gazzara
315,1734,Stephen Sommers,Brendan Fraser,Rachel Weisz,John Hannah
316,3131,Martin Scorsese,Leonardo DiCaprio,Daniel Day-Lewis,Cameron Diaz
317,76758,Zhang Yimou,Christian Bale,Ni Ni,Tong Dawei
318,9408,Ash Brannon,Shia LaBeouf,Jeff Bridges,Zooey Deschanel
319,9890,Frank Oz,Nicole Kidman,Matthew Broderick,Bette Midler
320,855,Ridley Scott,Josh Hartnett,Ewan McGregor,Jason Isaacs
321,77953,Jay Roach,Will Ferrell,Zach Galifianakis,Dylan McDermott
322,18,Luc Besson,Bruce Willis,Gary Oldman,Ian Holm
323,37786,Michael Patrick King,Sarah Jessica Parker,Kristin Davis,Cynthia Nixon
324,10501,Don Michael Paul,Kenneth Branagh,Kevin Kline,Rosie Perez
325,57800,Steve Martino,John Leguizamo,Ray Romano,Chris Wedge
326,150689,Kenneth Branagh,Lily James,Cate Blanchett,Richard Madden
327,7980,Peter Jackson,Rachel Weisz,Mark Wahlberg,Susan Sarandon
328,12,Andrew Stanton,Albert Brooks,Ellen DeGeneres,Alexander Gould
329,122,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen
330,121,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen
331,68737,Sergei Bodrov,Jeff Bridges,Julianne Moore,Ben Barnes
332,1995,Simon West,Angelina Jolie,Jon Voight,Iain Glen
333,157353,Wally Pfister,Johnny Depp,Paul Bettany,Rebecca Hall
334,331,Joe Johnston,Sam Neill,William H. Macy,Téa Leoni
335,61791,Rupert Wyatt,James Franco,Freida Pinto,John Lithgow
336,8204,Mark Waters,Freddie Highmore,Mary-Louise Parker,Nick Nolte
337,47964,John Moore,Bruce Willis,Jai Courtney,Sebastian Koch
338,10733,John Lee Hancock,Dennis Quaid,Billy Bob Thornton,Jason Patric
339,9806,Brad Bird,Craig T. Nelson,Holly Hunter,Samuel L. Jackson
340,1408,Renny Harlin,Geena Davis,Matthew Modine,Frank Langella
341,32657,Chris Columbus,Logan Lerman,Brandon T. Jackson,Alexandra Daddario
342,607,Barry Sonnenfeld,Tommy Lee Jones,Will Smith,Linda Fiorentino
343,863,John Lasseter,Tom Hanks,Tim Allen,Joan Cusack
344,44048,Tony Scott,Denzel Washington,Chris Pine,Rosario Dawson
345,5175,Brett Ratner,Chris Tucker,Jackie Chan,Zhang Ziyi
346,2655,Robert Zemeckis,Harrison Ford,Michelle Pfeiffer,Diana Scarwid
347,22794,Phil Lord,Bill Hader,Anna Faris,James Caan
348,8355,Carlos Saldanha,Ray Romano,John Leguizamo,Denis Leary
349,116745,Ben Stiller,Ben Stiller,Kristen Wiig,Patton Oswalt
350,4327,McG,Cameron Diaz,Lucy Liu,Drew Barrymore
351,1422,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson
352,10674,Tony Bancroft,Eddie Murphy,Jackie Chan,Ming-Na Wen
353,7446,Ben Stiller,Ben Stiller,Jack Black,Robert Downey Jr.
354,65754,David Fincher,Daniel Craig,Rooney Mara,Christopher Plummer
355,1572,John McTiernan,Bruce Willis,Jeremy Irons,Samuel L. Jackson
356,10528,Guy Ritchie,Robert Downey Jr.,Jude Law,Rachel McAdams
357,271969,Timur Bekmambetov,Jack Huston,Toby Kebbell,Rodrigo Santoro
